Report_ID,Event_Date,Age,Time,Nature,Establishment,Summary,Degree
636900,2006-07-07,,,Other,Coy'S Well Service,"On July 7, 2006, Employee #1 was working for Coy's Well Service and was on a service call at Well Number 7609. The well was pumping correctly, so Employee #1 began to clean the area around the pump. He was killed when he was struck by the pump's counter weights.",Fatality
625700,2006-07-08,,4.0,Other,Production Management Industries,"At approximately 3:30 a.m. on July 8, 2006, Employees #1 and #2 were sleeping on an offshore platform approximately 6 to12 miles south of Grand Isle, when an explosion occurred. Employee #2 escaped and was rescued by a passing boat. Employee #1 was killed. His body was recovered from the water by the U.S. Coast Guard.",Fatality
950643,2006-07-12,,,Fracture,"Kenai Drilling Limited, Dba Kenai Drilling","On July 12, 2006, Employee #1, a floor hand, was standing back of the kelly on a double drilling rig to allow another stand to be connected to the drill string. Employee #1 pushed the kelly forward and placed his left leg on the rotary table. The kelly struck the rotary table guard. The guard was displaced tilted upward, trapping Employee #1's left leg between the guard and the kelly. Employee #1 was hospitalized and treated for a compound fracture of the left tibia and fibula. The guard was not secured to prevent displacement.",Hospitalized injury
636900,2006-07-14,,,Other,"Cheyenne Drilling, Inc.","Employee #1, a derrickman, was working with a crew that was tripping a drill pipe out of a hole and preparing to drill. He went up to an 85-foot high derrick board to latch the drill pipe, when he fell and was killed. He was wearing a harness at the time of the accident but was not tied-off, while on the derrick board.",Fatality
627700,2006-07-25,,13.0,Burn/Scald(Heat),"Eagle Energy Services, Inc.","At approximately 1:00 p.m. on July 25, 2006, Employee #1 and Employee #2 were performing gas well servicing. Hydrocarbon vapors escaped from the well and were ignited by the engine on the workover rig. Both employees were transferred to the University Medical Center in Lubbock, Texas for hospitalization, where Employee #1 died six days later due to the burn injuries he sustained during the accident.",Fatality
1055310,2006-07-27,,14.0,Electric Shock,Welded Construction Lp,"At approximately 2:08 p.m. on July 27, 2006, Employees #1 through #6 were preparing to install a 1,300 ft long section of 36-in.-thick natural gas pipe when a 32.5-ft-high boom on a Caterpillar D8 came within about 6 in. of a 230-kilovolt power line. The six employees all received electric shocks and sustained injuries that required hospitalization.",Hospitalized injury
950643,2006-07-27,,,Fracture,"Jerry Melton & Sons Construction, Inc.","On July 27, 2006, Employee #1, a Roustabout, was working for an oil well pipeline company. He was assisting to install a header in an oilfield by tightening the bolts on the Manifold. While atop the Manifold, the supports were removed leaving the header held in place with clamps at its base. The header rotated about the axis at the base, and the employee fell with the header as the header toppled over. Employee #1 sustained unspecified fractures and was hospitalized. It was determined that the accident resulted from failing to properly secure the header prior to the removal of supports.",Hospitalized injury
950627,2006-07-29,,2.0,Bruise/Contus/Abras,Veolia Environmental Services,"At approximately 2:00 a.m. on July 29, 2006, Employee #1 was working at the Shell Oil Refinery, located in Martinez, California. He was attempting to flex-lance a vertical exchanger, E- 1155, with the Jetstream Hydroblaster. After two hours of flex-lancing without incident, Employee #1 came across a blocked tube. The blockage was approximately 3 in. from the end of the tube. The lance suddenly backed out of the tube and struck Employee #1 in his left upper arm. Employee #1 sustained bruises, contusions, and abrasions. He was taken to the Shell First Aid Station, and later he was transferred to Mt. Diablo Medical Center in Concord, California, where he was hospitalized.",Hospitalized injury
729700,2006-07-30,,,Other,Construction & Turnaround Services,"On July 30, 2006, Employee #1 was driving a car. While leaving the parking lot, his car struck a light pole. Employee #1 was killed.",Fatality
453710,2006-08-01,,,Other,Hare Pipeline Construction Inc,"On August 1, 2006, Employee #1, the supervisor, and #2 were performing a directional boring operation to install gas pipelines at the construction site. During the operation, the boring bit on the machine needed to be replaced. Employee #1 began rotating the boring rods, as Employee #2 stood on the other side, holding the boring bit with a pipe wrench. The torque exceeded the shear stresses on the bit, causing it to break and launching the pipe wrench. The pipe wrench struck Employee #1, lacerating and fracturing his leg; whereas, the boring bit ejected from the boring head, striking and knocking Employee #2 to the ground. Employee #2 sustained internal contusions and a left arm facture. Both employees were transported to a hospital. At the medical center, Employee #1 underwent two surgical procedures to repair lacerations and fractures to his leg, and Employee #2 received one surgical procedure to stabilize fractures to his arm. Following the surgeries, both employees were hospitalized for postoperative treatment. The cause of the accident was the direct result of not adhering to standard operating procedures.",Hospitalized injury
452110,2006-08-03,,11.0,Amputation,S T Pipeline Inc.,"At approximately 10:30 a.m. on August 3, 2006, Employee #1 was operating a bulldozer, clearing brush on a hillside near Blackey, KY. The bulldozer flipped end over end, Ejecting Employee #1. He died due to trauma to the head.",Fatality
830300,2006-08-16,,,Bruise/Contus/Abras,"Energy Systems Industrial, Inc.","On August 16, 2006, Employee #1 was performing maintenance work at an oil field site, when he was struck by the hammer head of a beam pumping unit. The employee was killed.",Fatality
653510,2006-08-22,,,Concussion,Key Energy Services,"On August 22, 2006, Employee #1, with Key Energy Services, was working on a well site. When equipment failed, he was thrown up approximately 25 ft and sustained head trauma. After treatment at two hospitals, Employee #1 was removed from life support and died on September 3, 2006.",Fatality
625410,2006-08-27,,,Fracture,Texas Energy Service,"Employee #1 was in the process of examining the hatch of a pressurized vessel for a suspected leak, when the hatch exploded, striking the employee and propelling off the top of the vessel, which measured 10 feet high. Employee #1 sustained head injuries and was transported to the hospital, where he died six hours later. The pressure of the vessel was not relieved or bled off before Employee #1 attempted to examine the vessel.",Fatality
627400,2006-08-30,,,Fracture,"Patterson Uti Drilling Company, Lp","On August 30, 2006, Employee #1, a supervisor, was walking alongside a Genie man lift. The lift's front left tire caught the employee's right leg and ran over him. The employee died as a result of his injuries. .",Fatality
626700,2006-08-30,,,Other,"Curtis & Son Vacuum Services, Inc.","On August 30, 2006, Employee #1 was part of a crew that was washing a fracture tank in a cow pasture area. The truck apparently could not pull a vacuum. The employee climbed onto the catwalk of the tank to remove a dome that was held in place by a securing band. The dome and band were pressurized. As the employee loosened the band, it came off and struck him on the head. Employee #1 was killed.",Fatality
830100,2006-08-31,,,Asphyxia,"Grant Geophysical, Inc.","On August 31, 2006, Employee #1 was working as a trouble shouter near Wilsall, MT, for a geophysical services company that discovered oil and gas reservoirs. The employee was driving an ATV, while wearing a helmet, on moderately steep terrain when he lost control of the vehicle and suffered an accident. Among the potential causes of the accident were speeding and excessive loading of the front end of the vehicle, as it was loaded over the 65 lbs recommended by the manufacturer. A coworker found the employee lying lifeless on the ground with the rear portion of the ATV resting on his neck. The coroner concluded that the cause of death was mechanical asphyxiation.",Fatality
627400,2006-09-13,,,Other,"Yale E Key Inc., Dba Key Energy Services","On September 13, 2006, an oil and gas field worker was struck in the head by an unidentified object, which killed him.",Fatality
627100,2006-09-14,,,Other,"Washita Valley Enterprises, Inc.","On September 14, 2006, a drill pipe inspector employed by Washita Valley Enterprises, Inc., was walking across the construction site to visually inspect drill pipe. He was run over and killed by a truck driven by an employee of Thornton Drilling Company, Inc.",Fatality
950621,2006-09-16,,12.0,Fracture,"Ensign United States Drilling (California), Inc.","At approximately 11:41 a.m. on September 16, 2006, an employee of Ensign United States Drilling (California), Inc. was helping a truck driver to back the draw works into the walk at that time during the rig set up. According to the employee, he signaled the driver from approximately 25 ft away to stop, but the truck driver did not stop fast enough, causing the draw works and the walk porches to collide. The employee had worked for the company for approximately 4.5 years was experienced at this task and was considered a supervisor on the job. The porch on the draw works bumped the walk porch causing the walk porch to come unhooked and falling on the employee. The employee was hospitalized and treated for a fractured lower leg.",Hospitalized injury
452110,2006-09-22,,,Fracture,"Spk Enterprises, Inc.","On September 22, 2006, Employee #1 was removing from a truck a multi-piece wheel rim with a mounted tire. When the lug nuts were loosened, the wheel/tire struck him. Employee #1 was hospitalized for treatment of an unspecified fracture.",Hospitalized injury
854910,2006-09-29,,1.0,Electric Shock,Great Salt Lake Minerals & Chemicals,"At approximately 12:30 a.m., on or near September 29, 2006, Employee #1, a technical mechanic, and an electrical mechanic were about to replace a sump motor. After the electrical mechanic locked out the sump motor circuit breaker, located in the motor control room (""MCC-006"") of the Wet Process Building, he set the outside sump switch to the ""off"" position and wired the new motor. Prior to returning the pump back to the sump, the employees attached a 3-inch diameter, right-angle pipe to the pump. The electrical mechanic returned to the MCC room to check on the leads to the motor and called the lead electrician to confirm that the readings were acceptable. After he was given clearance, the electrical mechanic removed his lock and energized the circuit to the motor. On his way back to the sump, he notified Employee #1 that the power was on. Arriving at the sump, the electrical mechanic did not see Employee #1 at the site. He went to his truck, which was parked approximately 30 feet west of the sump, and found it empty. Returning to the sump area, the electrical mechanic found Employee #1 face up in a small pond of water, approximately 10 feet from the sump. The electrical mechanic informed dispatch about the accident and quickly returned to the MCC room to deenergize the circuit to the motor and lock it out. After the electrical mechanic determined that the area around Employee #1 was not electrified, Employee #1 was pulled from the pond and administered CPR, until Weber County EMT arrived. Employee #1 apparently received an electric shock that caused his ""hypertensive"" heart to fibrillate, and he was killed. Upon request from the Deputy to the electrical mechanic, they found that the switch was in the ""manual' position. Inspection of the pump revealed that two of the 480-volt, three-phase cable conductors were exposed and ""shorted to the pump's steel house.""",Fatality
653510,2006-10-04,,,Fracture,"Mayo Marrs Casing Pulling, Inc.","On October 4, 2006, Employee #1 was a floor hand for Mayo Marrs Casing Pulling, Incorporated. He was using a torch to cut off a well head that weighed approximately 1,500 lbs. He was killed when the well head came off the casing and pinned him to the ground.",Fatality
627400,2006-10-05,,,Other,"H & H Valve Service, Inc.","On October 5, 2006, Employees #1, 2 and 3 were working in a shop where an oil field valve was being pressure tested after it was repaired, when the valve exploded. The valve's shrapnel struck all three employees, killing Employee #1.",Fatality
625700,2006-10-12,,,Burn(Chemical),"Athena Construction, Llc","On October 12, 2006, Employee #1, a towboat captain, and Employees #2 through #5, all construction laborers, were on a tow vessel that was pushing two construction barges. One of the spud legs on the barge suddenly deployed and struck a natural gas pipeline, causing an explosion and fire. Employees #1 through #5 were killed.",Fatality
950625,2006-10-19,,19.0,Asphyxia,Kenai Drilling Limited,"At approximately 7:12 p.m. on October 19, 2006, Employee #1 was standing on a monkeyboard of a portable oil well drilling rig. He was approximately 55 ft above the ground in the mast, while his supervisor, the rig's tool pusher, attempted to center the rig's derrick over the wellhead by adjusting the rig's 4-hydraulic corner jacks. As the rig's 103-ft high mast tilted, the supervisor noticed the unit shifting too much and attempted a correction. The derrick became uncontrollable and the rig tipped over to the ground. Employee #1 was killed.",Fatality
625700,2006-10-22,,,Puncture,"U S Liquids Of La., L.P.","On October 22, 2006, Employee #1, a dump truck driver, exited his dump truck and walked toward the rear of an excavator. He was struck and rolled over by the excavator track. The operator was unaware that anyone was behind the excavator and continued to operate the equipment until he heard Employee #1 hollering. Employee #1 was hospitalized and died.",Fatality
855610,2006-10-30,,,Burn/Scald(Heat),Ensign Opsco Energy Industries Usa,"On October 30, 2006, employees were preparing for a shift change when there was a sudden flash fire that injured four workers. Four workers suffered burns, and three were hospitalized.",Hospitalized injury
855610,2006-10-31,,,Other,Hawkeye Well Service Llc,"On October 31, 2006, during a well completion project on an oil and gas rig, a rig hand got his hand caught (entangled) in the rotating shaft of a skid mounted mud pump. The outdoor temperature that morning was nine degrees Fahrenheit. The rig and pump crew worked together thawing the hard lines to the wellhead. After the thawing process was completed, the hard lines and pump heads were reattached. The pump motor was started, and the clutch to the pump was engaged. With the mud pump engaged, the rig hand continued to work, and soon became entangled in the protruding rotating shaft. The rotating shaft made several revolutions before the clutch was disengaged. A call was made to emergency medical services and when they arrived, they removed the rig hand from the shaft. Although several attempts were made to revive the employee, he died at the scene.",Fatality
636900,2006-11-03,,,Other,O'Ryan Oil & Gas,"On November 3, 2006, Employee #1 was struck by a separator and killed.",Fatality
830500,2006-11-06,,,Concussion,"Easy Street Crane Service, Inc.","On November 6, 2006, Employee #1 was working for a company that delivered water for well servicing. When he exited a loaded water truck to chain the tires, he was run over by the truck and killed. Employee #1 had failed to engage the truck's brakes.",Fatality
855610,2006-11-11,,,Burn/Scald(Heat),Associated Pipeline Contractors Inc,"On November 11, 2006, Employee #1 was operating a bulldozer with a ripper attachment to build a new gas pipeline right of way. When the ripper attachment contacted an existing active gas pipeline, an explosion and fire occurred. Employee #1 was killed.",Fatality
1050210,2006-11-13,,2.0,Concussion,Arctic Slope Energy Services,"At approximately 1:30 a.m. on November 13, 2006 at a well service location on the North Slope's Milne Point, Alaska, Employee #1, a well service worker, was transporting a 6-ft length of 2-in. diameter pipe weighing over 70 lbs on his shoulder. Due to the lack of an eye witness, Employee #1 is believed to have fallen forward, contacting his face on the frozen surface prior to the pipe impacting the rear of the skull. Rear-skull exposure was most likely from a tilting of the circular billed plastic hard hat, which was forced forward from the facial impact with the frozen surface. The probable cause of blunt force trauma to the rear of the skull came from the weight of the pipe, which most likely contacted the back of Employee #1's skull on impact with the his face and forehead on the frozen surface. Employee #1 was evacuated to the hospital where he died while on life support at approximately 1:40 a.m. on November 14, 2006.",Fatality
627700,2006-11-17,,,Cut/Laceration,H2s Safety Plus Incorporated,"On November 17, 2006, Employee #1 was hosing out an oilfield tank. The high pressure hose became kinked and built up pressure. The hose ruptured and diesel fluid came out at an unexpected pressure. Employee #1 was injured when he was struck on the side of his head by the hose. His hard hat was broken at the point of impact and knocked from his head.",Fatality
830500,2006-11-17,,,Concussion,"Leed Energy Services, Inc","On November 17, 2006, Employee #1 was part of a well-servicing crew that was laying pipe in an existing casing. They were conducting hydrostatic tests of the pipe. A bent and welded sucker rod served as an eyelet for an 8-in. sheave at the crown. The crew powered up the truck mounted winch. When the hydrostatic test bar became stuck in the pipe, the sucker rod holding the sheave suddenly failed. Employee #1 was killed when the sheave fell and struck him in the head.",Fatality
336000,2006-11-21,,,Fracture,Open Flow Gas Supply Corporation,"On November 21, 2006, Employee #1 was a gas well tender, working in a remote rural area. His coworkers had been assembling a new gas well head at well Number 35 before Employee #1 arrived. The new well head had been pieced together with hardware connections only hand tight. The main responsibility of the gas well tender was to ensure equal pressure (tubing pressure versus annulus pressure) existed on each gas well. Employee #1 checked the pressures and identified a pressure difference at well Number 35. He announced his intentions to blow down the well (open the well head and equalize the pressure). The coworkers explained the well head was only hand assembled and not tightened, and they warned Employee #1 to not open the well head. However, he did not heed their warning and opened the main ball valve. The pressure released from the well caused the well head to break apart. Employee #1 was injured when he was struck in the chest by a piece of the assembly, knocked off rig, and fell approximately 20 ft to the ground. Coworkers alerted medical services and transported Employee #1 down the mountain by pick-up truck. They rendezvoused with an ambulance that transported him to a small local airport for transfer to a helicopter. The helicopter was transporting Employee #1 to a hospital, however he died during the flight.",Fatality
950635,2006-11-25,,18.0,Burn/Scald(Heat),Ensign United States Drilling California Inc.,"At approximately 5:55 p.m. on November 25, 2006, a top drive blower motor electrical breaker tripped, shutting down the top drive system. Employee #1, the electrician on duty, was called to trouble shoot the problem. He found a tripped breaker in the 600 volt panel within the silicon control rectifier house and re set it. The rig was restarted but the breaker tripped again within a few minutes. He decided to replace the malfunctioning breaker but did not deenergize and lock out the system. An electrical arc flash occurred, which caused flash burn injuries. He was hospitalized.",Hospitalized injury
830500,2006-11-27,,13.0,Fracture,"Schneider Energy Services, Inc.","At approximately 12:30 p.m. on November 27, 2006, Employee #1, a roustabout, was part of a three man crew that was instructed to cut, thread, and cap a 4-in. steel pipeline that was considered to be abandoned since the well was no longer producing. The employees checked the pipeline for pressure by opening the blow down valves located on the 2-in. vertical riser section of pipe that was exposed above ground. One of the employees opened the valves and did not observe a pressure release from the valves, allowing the crew to proceed with excavating operations approximately four feet from the vertical riser to unearth the 4-in. pipe. Once the pipeline was excavated, Employee #1 began cold-cutting the pipe with a large manual rotary pipe cutting tool. Employee #1 eventually breached the 4-in. pipeline which was pressurized with natural gas and condensate, creating a high pressure release that struck Employee #1. Employee #1 received a blunt force trauma injury to the head causing a fatal injury.",Fatality
855610,2006-12-08,,,Asphyxia,Northstate Corp.,"On December 8, 2006, Employee #1 was working as a mechanic for a firm engaged in gas and oil field services. He was working alone on a bucket truck in one section of the repair shop. He was found between the upper and lower sections of the boom of the bucket truck by a coworker. He had been killed. There were no witnesses to the accident. After an inspection of the accident site and interviews with individuals who were onsite at the time of the accident, it was determined that Employee #1 was removing a check valve associated with the hydraulics of the boom. The removal of the valve appears to have caused the boom to lower, trapping Employee #1 and crushing his chest enough to prevent him from breathing. His death was due to asphyxia.",Fatality
950621,2006-12-10,,,Fracture,Paul Graham Drilling & Service Co,"On December 10, 2006, Employee #1, a motorman for Company A, was cribbing under a drilling rig. The cribbing consisted of driving heavy planks under the substructure after it was jacked up to the appropriate height. Company B was called in to jack-up one side of a drilling rig to a level height to allow cribbing material to be placed under the drilling rig's substructure to keep it level after the hydraulic jacks were removed. Although this leveling work was not a routine activity for Employee #1 or his company, no safety meeting was held and the risk associated with this new hazard not adequately evaluated. A 1,000-lb metal stairway was attached to the side of the drilling rig that was to be jacked-up, but it was not considered to be a hazard because its upper end was secured to the rig. However, the lower end of the stairway was not secured, since it simply rested on the top platform of a smaller stairway. The decision was made to jack-up the drilling rig without removing the 1,000-lb stairway. After the drilling rig was raised to the necessary height, cribbing commenced and continued until the work took Employee #1 into the zone under the heavy stairway. At that point, the lower end of the 1,000-lb metal stairway slipped off its platform and swung approximately 10 ft before striking Employee #1 in the back. Employee #1's face was driven into the metal substructure of the drilling rig. Employee #1 suffered serious head, face, and back injuries. Employee #1 was hospitalized and treated for his injuries.",Hospitalized injury
418300,2006-12-10,,,Other,Bradford Brothers Inc.,"On December 10, 2009, Employee #1, a bulldozer operator, was riding over top of the spoils pile that he was removing to back fill an excavation. Employee #1 was found lying on the ground, unresponsive, with the bull dozer traveling unmanned in reverse direction through the woods. It is believed that Employee #1 may have suffered a medical event that resulted in him being ejected from the bulldozer. The employer has a safety and health program that includes seat belt usage and enforcement of the rule. Employee #1 was observed wearing his seatbelt on other occasions.",Fatality
653510,2006-12-21,,,Fracture,Eunice Well Service,"On December 21, 2006, Employee #1, of Eunice Well Service, was rigging up a well servicing rig. The employee attempted to release a lever-type load binder with a cheater bar, but while doing this, the lever unexpectedly came loose. The cheater bar struck the employee in the chin and killed him.",Fatality
729700,2006-12-21,,17.0,Electric Shock,"Klima Well Service, Inc.","At approximately 4:30 p.m. on December 21, 2006, Employee #1, a floor hand on an oil rig, was part of the crew. The area they were working in had received approximately 1-in. of snow the day before. A three man crew was attempting to rock over the counter weights on the oil well to bring the horse head down to the hole. Employee #1 was directed by the operator to stand at the electrical control box and start-stop the 30 horse power, 480 volt, 3-phase electric drive motor to the pumping unit. When the pumping unit did not shut down, the operator looked at Employee #1 and saw him leaning up against the box. Employee #1 was electrocuted when he started the pumping unit by pushing the start button.",Fatality
950643,2006-12-28,,,Amputation,J & N Trucking And Lowbed Services,"On December 28, 2006, Employee #1, a temporary employee, was working as an oil well pumper. He was sent to investigate squeaking belts on well number 11, a Lufkin Pumping unit. Employee #1 did not lockout the pumping unit prior to entering the fenced area, and the counter weight of the pumping unit struck Employee #1 in the head, killing him.",Fatality
419400,2007-01-02,,,Other,Radzewicz Operating Corporation,"On January 2, 2007, an employee was working on a well head changing out a choke cap. The choke cap came off a large pipe under pressure and hit the employee in the chest, causing massive internal injuries. The employee was killed.",Fatality
950643,2007-01-05,,,Amputation,Key Energy Services Inc,"On January 5, 2007, an employee was on the elevators on Rig Number 011 that malfunctioned, releasing a joint of pipe. The employee was killed. The elevators had been recertified in September 2005, and were due to be recertified in September 2006. On the date of the accident, the elevators were still in use and were approximately four months past due for the recertification.",Fatality
453730,2007-01-23,,,Bruise/Contus/Abras,"A & B Trenching Co., Inc.",Employee #1 was laying residential gas main lines for a new housing development. Employee #1 was working near an operating backhoe. Employee #1 stepped inside the operating zone of the backhoe's bucket and was struck by the bucket as it slipped off the dirt while digging. Employee #1 sustained bruises and abrasions but was not hospitalized.,Non Hospitalized injury
653510,2007-01-26,,16.0,Asphyxia,Bearcat Drilling Llc,"At approximately 4:20 p.m. on the afternoon of Friday, January 26, 2007, Employee #1 was working for a firm engaged in oil and gas field drilling services. His supervisor had instructed the crew of which Employee #1 was a member to start clean-up. Employee #1 drove the all-terrain forklift he had been operating outside the shop to park it. An oil leak had been noticed on the vehicle earlier in the day, but the decision had been made to wait until the end of the day to find the leak. It is thought that Employee #1 stood up in the operator's cabin of the all-terrain forklift and lifted the engine compartment cover to look inside the compartment. The weight of the compartment cover might have caused Employee #1 to lose his balance and fall forward into the engine compartment. As he fell forward, his left knee hit the joystick that operates the boom, pushing it forward and causing the boom to lower. A coworker found Employee #1 trapped between the boom and the engine compartment, and emergency medical services were called. Emergency medical technicians removed Employee #1 from the all-terrain forklift and transported him to San Juan County Regional Hospital, in Farmington, NM, for treatment. He was not able to recover, and he died.",Fatality
454712,2007-01-26,,,Concussion,Bill Ennis Dba Tennessee Technical Consultants,"On January 26, 2007, Employees #1 and #2 were working for a gas pipeline contractor. Employee #1 was a laborer, and Employee #2's occupation is not stated. Gas service to a building was being capped. The two employees were using a jackhammer to dig around the gas riser outside the building, when the building collapsed. Employee #1 sustained a head concussion, and he was pronounced dead at the site from crushing injuries. Employee #2 was taken to the hospital, where he was treated for fractures of unspecified bones. There is no mention of Employee #2 on the injury lines.",Fatality
626300,2007-02-13,,,Other,"Innovative Energy Services, Inc.","On February 13, 2007, a work over crew was servicing an oil well with a truck mounted drilling rig. After servicing the well, the crew reenergized the pumping unit so the pump could pick up prime. A short time later the tool pusher discovered that the well had not started flowing. He informed the crew that the bypass valve at the well head was probably plugged with paraffin and instructed them to loosen the valve. The employee went to retrieve a wrench next to the pumping unit and was crushed between the counterweight and the pump frame and was killed.",Fatality
729700,2007-02-14,,14.0,Fracture,"Beredco, Inc.","At approximately 1:30 p.m. on February 14th, 2007, an employee had climbed the derrick for Beredco, Inc. Drilling Rig No. 2, located at Well No. 3 to prepare for stabbing another 93 foot stand of pipe. The employee had climbed the derrick and positioned himself on the derrick platform and monkey board when he fell 90 feet to the drilling floor. The employee had used the climbing assist device, attached to the front of his fall protection harness and connected the self retracting lifeline to his harness to climb the derrick ladder. In order to work on the derrick platform and monkey board, the employee had to disconnect the self retracting lifeline and the climbing assist device and attach his full body harness to the restraining device installed on the derrick platform. While attaching the stand of pipe to the elevator, the employee was pulled off the derrick platform. The employee had not connected to the restraining device installed on the derrick platform. The employee was taken by ambulance to the Coldwater, Kansas Hospital, where he was pronounced dead.",Fatality
855610,2007-02-19,,,Electric Shock,Sst Energy Corporation,"On February 19, 2007, Employee #1, a floor hand, was cleaning the Number 2 diesel powered generator. He was using a wire brush to clean the steel grating that covered the rear section of the generator. He came in contact with an energized electrical cable that was located directly below the generator that powered the radiator fan motor for the diesel engine. Employee #1 was electrocuted.",Fatality
626000,2007-02-21,,,Other,Unison Drilling Inc.,"On February 21, 2007, Employee #1 entered the area of the rig carrier where the drive shaft extends from the rotary gear box to the shaft where it connects to the rotary table under the rig floor. Employee #1 was caught by the rotating shaft and fatally injured.",Fatality
627700,2007-02-22,,,Other,"K & W Well Service, Inc.",Employee #1 was in the rod basket of a 96-ft double-triple-telescoping derrick work over rig when a sink hole developed under the left rear stabilizer jack causing it sink approximately 8-in. causing the rig to fall on its left side. Employee #1 was caught between the derrick and the ground and was killed. .,Fatality
830600,2007-02-27,,11.0,Other,Ricway Roustabout & Water Service,"At approximately 11:25 a.m. on February 27, 2007, Employee #1 was operating a 1995 Kenworth bobtail truck with a 4,000 gallon tank to haul waste water from gas wells in Las Animas County, Colorado. He was on a steep, dry, winding, hard dirt road with an approximately 4- to 5-degree slope. The truck did not have adequate maintenance or inspection records. Work had been done on the truck's brakes a couple weeks before the incident. The truck also had a stiff suspension and was known to hop or bounce easily. At the time of the incident, the truck was going downhill to some wells. There were long skid marks up to the area where the truck went over a steep embankment. Employee #1 either jumped from the vehicle or was thrown from the vehicle. He was killed by the impact.",Fatality
950615,2007-03-10,,16.0,Cut/Laceration,Kenai Drilling Limited,"At approximately 3:30 p.m. on March 10, 2007, Employee #1 was working with a crew cleaning out a well, Number 10. They were using an ACCO BX-600 load binder, for securing the hoisting block to a set of tables. Employee #1 was in the process of rising the block after the crew had pulled wire rope through it. He was removing the load binders from the hoist block and tables. The load binder released under load pressure at which point the lever came in contact with his chin. He severed his tounge and broke several teeth and was hospitalized.",Hospitalized injury
950663,2007-03-13,,15.0,Fracture,Cherne Contracting Corporation,"At approximately 2:30 p.m. on March 13, 2007, Employee #1 was working for the Cherne Contracting Corporation, a general or special trade contractor primarily engaged in the construction of heavy projects. Starting that morning, three Cherne employees had placed approximately thirty-two I-beams about 8 feet up in a bay of a new unit under construction. None of the I-beams were secured, and they would not be clamped in place until their elevation was set precisely. Employee #1, who was not involved in the I-beam placement, entered the bay at approximately 2:30 p.m. during break time to run an extension cord through the bay and over a wood forming wall. As he stepped up on the cross bracing supporting the I-beams to reach over the wall, he lost his balance. He grabbed an I-beam to stabilize himself, but since the I-beam was not secured, it fell over onto his right leg. He sustained multiple fractures to his right leg, and he was hospitalized.",Hospitalized injury
636900,2007-04-05,,,Electric Shock,Shekinah Oil Field Service,"On April 5, 2007, Employees #1 and #2 were assisting in the loading a compressor onto a gin-pole truck. The compressor was to be transported to another site. While the gin-pole truck was backing up, the compressor was being lowered by a derrick. As the derrick maneuvered, either its top or the wire rope line holding the compressor, came into contact with an overhead power line. Employees #1 and #2, who were located on each side of the skid were electrocuted. The incident investigation revealed that the overhead power line was distributing 7,200 volts and determined that its induced voltage may have caused the compressor skid to become energized.",Fatality
854910,2007-04-05,,21.0,Fracture,Caliber Casing Service,"At approximately 9:22 p.m. on April 5, 2007, an employee and coworkers were performing work on Patterson UTI Number 51 at a remote drilling location known as Rockhouse 11-23-24-02, in SW Section 21 South 23 east Range. They had finished laying down all the tubulars, Drill Pipe and Drill Collars, and were engaged in the process known as rigging around their lay down machine. Upon completing the rigging around process, the employee and coworkers would be able to load casing into the pipe trough and raise it to the drill floor where it could be inserted into the hole. They were experiencing problems securing the lifting arms back onto the trough after switching them from one side to the other, completing the rig around. It was stated that there was not enough room between the securing point of trough and the attachments that were sitting on the cat walk. It was decided by the employee and the coworkers that the operator would mechanically move the trough forward, giving more room to tighten the bolt and secure the pin. It was stated that the lay down machine operator attempted to move the trough forward upon receiving hand signals from the employee while he was on the catwalk. On the second attempt, the pipe trough came off the attachments and slide down onto the lay down arms. At this point the employee was inside of the unprotected attached frame work. As the pipe trough slide down, the employee was caught between the frame work and the 2,000 lbs trough. It was stated that coworkers attempted to help push the trough back up the lay down arm, off the employee and were unable, as the pipe trough continued to slide off, it pushed the employee out of the unprotected attached frame work, flip him backwards on to the ground and the pipe trough landed on his head, resulting in fatal injuries.",Fatality
627400,2007-04-08,,,Amputation,"Patterson-Uti Drilling Company, Lp","On April 8, 2007, Employee #1, an oil well driller, was working with his coworkers, when the drill bit that they were using became plugged. The driller raised the drill string and let it fall 20 feet and stopped it abruptly in an attempt to unplug the bit. This did not work and caused the brake to ""break over"". Some of the coworkers attempted to fix the brake by attaching the winch line to the brake handle and pulling it back. This did not work and it bent the shaft on the brake. They then tried to remove the drum guard. Five of the coworkers suggested that they should try to take the guard apart into three pieces so it would be easier to handle. As they started to remove the bolts, the tool pusher informed them that all five of them could remove the guard in one piece. The guard was removed in one piece and they attempted to ""break over"" the brake by using 36-in. pipe wrenches to pull the pivot point back over. However, this did not work. They, then, attached the wrenches to the pivot point directly under the driller's console, and pulled the wrenches with the winch line. This did get the brake to ""break over"". Instead of using the five coworkers to put the guard back in place over the drum, or taking the guard apart so it could be more easily managed, three coworkers were directed to put the guard back in place while the tool pusher and the motor man worked on the bent brake handle. Employee # 1 was standing on top of the drum with his back against the drill line. The derrick man and a floor hand were trying to roll the guard up to Employee #1 when the brake handle slipped and hit the throttle, causing the drum to rotate, pulling Employee #1 into the drum. The drum rotated two full revolutions before the coworkers could stop it. Employee #1 was cut into two pieces and pronounced dead at the worksite.",Fatality
